sentence,start_index,end_index
The report mentioned never odd or even during the audit,21,37
She quietly said step on no pets before leaving,18,32
He scribbled live not on evil in the margin of the page,12,26
They overheard was it a rat i saw in the hallway,14,30
The analyst typed do geese see god into the console,18,34
Someone whispered able was i ere i saw elba in the archive room,17,43
We noticed rise to vote sir hidden in the transcript,11,26
The technician logged no lemon no melon as a test phrase,21,38
He muttered never odd or even while reviewing numbers,11,27
She highlighted step on no pets in the training manual,15,29
The draft included live not on evil without explanation,18,32
They debated was it a rat i saw late into the night,12,28
An intern wrote do geese see god on the whiteboard,16,32
The memo referenced able was i ere i saw elba unexpectedly,15,41
We discovered rise to vote sir embedded in the notes,14,29
The script contained no lemon no melon for testing,20,37
He casually typed never odd or even into the system log,18,34
She repeated step on no pets under her breath softly,13,27
The document preserved live not on evil as an example,22,36
They archived was it a rat i saw without comment,13,29